id,price_range,probability
208,1,0.9761347
209,0,0.8744438
210,0,0.85732305
211,1,0.9997976
212,2,0.6446158
213,1,0.66255087
214,2,0.86087775
215,3,0.88520557
216,3,0.9923078
217,0,0.9920342
218,2,0.99887335
219,0,0.96888
220,3,0.9934861
221,2,0.954489
222,3,0.6048739
223,3,0.9874302
224,1,0.97751814
225,0,0.9992335
226,1,0.9937857
227,0,0.97360367
228,3,0.9863131
229,0,0.9997357
230,1,0.9250814
231,0,0.999845
232,2,0.9709224
233,2,0.99569243
234,1,0.9896792
235,3,0.71061856
236,1,0.7006725
237,3,0.8403376
238,0,0.99780273
239,3,0.99655575
240,1,0.6710301
241,2,0.9975468
242,0,0.999935
243,0,0.99997383
244,2,0.9959984
245,0,0.8635997
246,3,0.97964203
247,3,0.7494763
248,3,0.98213995
249,1,0.9994814
250,1,0.999183
251,3,0.9891942
252,0,0.99616045
253,0,0.9985703
254,2,0.9973242
255,3,0.9856029
256,3,0.9845529
257,1,0.9872359
258,3,0.99668723
259,1,0.98680043
260,1,0.9957245
261,3,0.9773857
262,2,0.99381924
263,1,0.99287295
264,2,0.9916445
265,3,0.9989896
266,3,0.95749456
267,3,0.9975181
268,1,0.99942434
269,0,0.62815523
270,1,0.9588249
271,2,0.90999544
272,3,0.9045296
273,1,0.98098576
274,1,0.9922833
275,3,0.9982827
276,2,0.98476076
277,0,0.9142349
278,3,0.9668073
279,0,0.98902905
280,0,0.92854184
281,3,0.82895046
282,0,0.89838576
283,0,0.99999255
284,3,0.99906033
285,2,0.99071324
286,3,0.9859059
287,3,0.96550834
288,2,0.799649
289,1,0.93810505
290,3,0.98093104
291,3,0.9310231
292,2,0.9959503
293,3,0.99069834
294,1,0.9904356
295,2,0.9863947
296,1,0.99589425
297,2,0.91593415
298,0,0.9981701
299,2,0.9545556
300,3,0.996145
301,1,0.987321
302,0,0.99966955
303,0,0.98815954
304,3,0.9966763
305,0,0.9530158
306,3,0.9993604
307,0,0.84416026
308,1,0.9920777
309,2,0.9963666
310,0,0.99950963
311,2,0.9775323
312,3,0.9747863
313,1,0.9821101
314,3,0.9873137
315,2,0.9978051
316,2,0.9982652
317,1,0.5282997
318,2,0.997258
319,0,0.99959654
320,0,0.99969995
321,0,0.9987256
322,1,0.99652493
323,3,0.9735844
324,2,0.99933094
325,0,0.945065
326,0,0.65186065
327,0,0.9999592
328,3,0.9798479
329,2,0.97510344
330,0,0.99610054
331,2,0.9604794
332,3,0.99588346
333,1,0.66271585
334,2,0.97562087
335,2,0.7068395
336,2,0.99699515
337,3,0.98667884
338,1,0.9997978
339,3,0.98954755
340,3,0.9966346
341,2,0.5572074
342,2,0.99669915
343,2,0.933006
344,3,0.9511296
345,3,0.9875613
346,1,0.8001149
347,3,0.99790287
348,0,0.94812614
349,3,0.98783
350,1,0.9836471
351,3,0.9743041
352,1,0.9901959
353,3,0.5374428
354,3,0.972661
355,0,0.9901366
356,1,0.9862562
357,1,0.9403459
358,2,0.74043494
359,1,0.9525471
360,3,0.97151405
361,2,0.945205
362,3,0.9827672
363,0,0.95685464
364,0,0.996551
365,0,0.9974788
366,0,0.74551994
367,2,0.9915287
368,0,0.99488634
369,0,0.9865986
370,2,0.99086803
371,2,0.8960692
372,1,0.89331526
373,2,0.9901301
374,2,0.91591287
375,2,0.9990404
376,0,0.9998634
377,1,0.99522656
378,0,0.9953048
379,0,0.9983128
380,3,0.99459046
381,2,0.8296236
382,0,0.98800546
383,3,0.98863286
384,1,0.999856
385,2,0.99257195
386,2,0.9962891
387,1,0.9882042
388,2,0.9858176
389,3,0.99800295
390,1,0.9244385
391,1,0.9964816
392,2,0.98567754
393,2,0.9784196
394,1,0.99151105
395,2,0.7320486
396,0,0.9999911
397,1,0.9687693
398,1,0.9949729
399,0,0.9998591
400,3,0.9722944
401,2,0.910026
402,1,0.9055856
403,0,0.9990079
404,1,0.99136853
405,0,0.9978137
406,0,0.9988056
407,1,0.98720837
408,1,0.99893564
409,0,0.9999556
410,0,0.8899646
411,0,0.9714319
412,2,0.93477404
413,2,0.995937
414,3,0.99775267
415,2,0.94487065
416,3,0.99795073
417,0,0.9999359
418,3,0.95593673
419,0,0.97747386
420,3,0.90491694
421,0,0.9808789
422,1,0.9970333
423,1,0.9922135
424,0,0.5027957
425,2,0.9426098
426,0,0.99961454
427,3,0.98658895
428,2,0.8381153
429,3,0.99059206
430,3,0.94735444
431,1,0.9681177
432,3,0.99552816
433,1,0.9543054
434,3,0.5527703
435,1,0.9789371
436,3,0.8168398
437,2,0.99930024
438,0,0.9956649
439,1,0.97721595
440,2,0.6213456
441,1,0.94454986
442,1,0.95157003
443,0,0.9990048
444,0,0.99935967
445,0,0.7613552
446,1,0.978151
447,2,0.9881308
448,1,0.93003845
449,0,0.9859793
450,3,0.88960814
451,2,0.998157
452,0,0.98884284
453,2,0.9979437
454,2,0.6059499
455,0,0.9999955
456,0,0.9995821
457,3,0.88773894
458,1,0.9974117
459,2,0.93636835
460,1,0.99613976
461,2,0.8678741
462,2,0.98599946
463,3,0.9328554
464,0,0.99905723
465,3,0.98526204
466,0,0.99012035
467,2,0.99615365
468,3,0.99369663
469,2,0.5825592
470,3,0.98489404
471,1,0.79287857
472,2,0.9940018
473,0,0.9997498
474,2,0.9591362
475,3,0.5939613
476,0,0.98870534
477,1,0.99085504
478,1,0.65527815
479,0,0.9740643
480,0,0.9989205
481,1,0.98870826
482,2,0.6664535
483,1,0.9974682
484,3,0.9301454
485,3,0.99791265
486,3,0.9792547
487,1,0.7527183
488,3,0.9878826
489,1,0.9955343
490,2,0.8815536
491,2,0.99878836
492,3,0.9265425
493,3,0.9940939
494,3,0.9958242
495,2,0.947536
496,0,0.9890304
497,2,0.9997723
498,1,0.9972859
499,2,0.9977792
500,2,0.98042154
501,1,0.97715265
502,0,0.99966013
503,2,0.99216276
504,2,0.8591082
505,0,0.900116
506,0,0.91855323
507,0,0.8340109
508,3,0.9965232
509,1,0.99136996
510,0,0.9887302
511,2,0.9955327
512,2,0.99608386
513,2,0.9991501
514,0,0.8946176
515,3,0.995169
516,0,0.7826744
517,2,0.9966176
518,2,0.9990136
519,0,0.6065904
520,3,0.9850612
521,0,0.9998629
522,2,0.9934712
523,3,0.9975714
524,0,0.87998813
525,1,0.99692005
526,1,0.9831957
527,3,0.9595969
528,3,0.9867717
529,2,0.6306847
530,1,0.9988267
531,2,0.5693948
532,3,0.99022466
533,2,0.9989555
534,0,0.9978149
535,2,0.64054364
536,0,0.5918108
537,2,0.90295774
538,0,0.99966407
539,3,0.99575216
540,3,0.99871546
541,1,0.9887078
542,3,0.9091139
543,2,0.9477878
544,2,0.9956872
545,3,0.99441534
546,0,0.99986434
547,1,0.98974246
548,2,0.9734
549,3,0.99293673
550,1,0.8744771
551,3,0.9975136
552,2,0.9562756
553,3,0.97522014
554,1,0.9959156
555,1,0.9899694
556,0,0.69845444
557,0,0.9417115
558,3,0.9853258
559,1,0.5540134
560,0,0.995748
561,3,0.9936313
562,2,0.98262596
563,3,0.9980651
564,2,0.5160103
565,1,0.9740616
566,3,0.8922694
567,3,0.82853454
568,3,0.96729565
569,2,0.7807577
570,3,0.96310973
571,3,0.9767561
572,1,0.9476573
573,2,0.96736014
574,0,0.7941819
575,2,0.99926126
576,3,0.5150922
577,3,0.9800739
578,0,0.7500713
579,0,0.98788285
580,1,0.959971
581,1,0.9998505
582,2,0.98689544
583,2,0.9964536
584,2,0.9170551
585,0,0.9888048
586,0,0.9977077
587,2,0.99178076
588,2,0.99409485
589,3,0.9986701
590,2,0.9909629
591,0,0.99914443
592,2,0.9967594
593,1,0.9071738
594,3,0.9809238
595,3,0.95660406
596,0,0.78080875
597,1,0.9981502
598,3,0.99404764
599,0,0.93275535
600,2,0.99824923
601,1,0.95750725
602,1,0.91383016
603,0,0.99813014
604,0,0.9931794
605,2,0.9991887
606,1,0.99894327
607,0,0.99950176
608,1,0.99587166
609,2,0.97479564
610,2,0.9650975
611,2,0.9372203
612,0,0.97232723
613,2,0.9987879
614,2,0.7396153
615,1,0.9893355
616,0,0.99999636
617,3,0.99116117
618,0,0.87113535
619,0,0.99765986
620,3,0.9937959
621,2,0.9986025
622,0,0.9995548
623,0,0.99073994
624,0,0.7885582
625,0,0.9868131
626,0,0.99820924
627,3,0.98821265
628,0,0.99976206
629,3,0.9845103
630,1,0.82613164
631,3,0.9930305
632,1,0.68101245
633,1,0.9837381
634,3,0.99435157
635,2,0.63399035
636,0,0.99877524
637,1,0.89879405
638,1,0.9652091
639,3,0.8662464
640,2,0.90503603
641,3,0.7364281
642,2,0.9854912
643,1,0.7711485
644,3,0.9752407
645,0,0.99954003
646,2,0.9794779
647,0,0.9538154
648,2,0.9824314
649,0,0.9957422
650,1,0.99251753
651,1,0.9157355
652,1,0.99887264
653,1,0.9971058
654,2,0.9996619
655,1,0.75303066
656,3,0.70417744
657,1,0.9994525
658,3,0.9977987
659,2,0.9731221
660,2,0.9967928
661,1,0.99929667
662,3,0.99206424
663,2,0.9718738
664,0,0.9998629
665,2,0.56928694
666,2,0.9869776
667,0,0.999953
668,3,0.923975
669,3,0.9986257
670,0,0.99995035
671,2,0.98667306
672,1,0.99663484
673,1,0.9967059
674,2,0.95938766
675,0,0.99983644
676,3,0.97079486
677,2,0.9984348
678,0,0.9999735
679,3,0.96330035
680,2,0.98798966
681,3,0.9910192
682,0,0.649912
683,0,0.99995714
684,3,0.9964476
685,0,0.9961539
686,2,0.84617907
687,2,0.9637823
688,3,0.9976833
689,2,0.9960063
690,2,0.9914657
691,2,0.99192363
692,2,0.7084876
693,0,0.948003
694,2,0.9339642
695,3,0.9976531
696,0,0.9994675
697,0,0.5002362
698,0,0.5611594
699,1,0.9898345
700,2,0.99110574
701,1,0.9862992
702,0,0.99996084
703,0,0.9992077
704,1,0.9837373
705,0,0.9990259
706,0,0.9998998
707,3,0.9166339
708,1,0.8161944
709,1,0.9829242
710,2,0.8527522
711,0,0.99992317
712,1,0.51676935
713,0,0.9424233
714,1,0.9981981
715,3,0.97703964
716,0,0.9828347
717,3,0.99880606
718,2,0.996579
719,3,0.99905485
720,0,0.99963313
721,0,0.91665775
722,1,0.99158734
723,2,0.99679005
724,2,0.9796979
725,1,0.9965681
726,0,0.9999216
727,1,0.9993859
728,1,0.62954724
729,0,0.99989146
730,1,0.9908248
731,1,0.9979884
732,0,0.9998288
733,0,0.6517264
734,3,0.9870941
735,3,0.9991437
736,0,0.987689
737,3,0.650564
738,1,0.9937619
739,1,0.993985
740,3,0.99438417
741,0,0.99910223
742,1,0.98673576
743,0,0.9853315
744,2,0.96012735
745,2,0.969044
746,0,0.521731
747,3,0.9816636
748,1,0.99835527
749,0,0.9997438
750,3,0.89525527
751,1,0.8556969
752,1,0.99806076
753,0,0.99276334
754,3,0.5028045
755,3,0.99608517
756,3,0.9773164
757,2,0.98408705
758,3,0.95992684
759,0,0.981241
760,3,0.9914495
761,2,0.99453413
762,0,0.99838275
763,0,0.70685166
764,0,0.9855464
765,3,0.8764966
766,3,0.99509305
767,2,0.9589718
768,0,0.9801591
769,2,0.95369333
770,1,0.91761255
771,3,0.8365504
772,0,0.9723409
773,0,0.99990386
774,2,0.7670077
775,2,0.9874154
776,0,0.6803342
777,3,0.8347333
778,1,0.95821875
779,2,0.97521526
780,2,0.51760507
781,1,0.8512949
782,1,0.5154002
783,3,0.98916537
784,1,0.99463904
785,1,0.9997709
786,1,0.99538934
787,2,0.99893016
788,1,0.7279696
789,0,0.9999679
790,2,0.5332171
791,2,0.9367116
792,0,0.995908
793,2,0.7721676
794,0,0.9999873
795,0,0.97798836
796,0,0.9535896
797,0,0.97593236
798,2,0.6987535
799,3,0.9253024
800,3,0.9916079
801,3,0.9946667
802,0,0.9810081
803,1,0.999851
804,2,0.9684532
805,1,0.9219689
806,1,0.993728
807,0,0.9985622
808,0,0.9997361
809,2,0.88838065
810,1,0.999763
811,0,0.98055947
812,2,0.99551415
813,0,0.9743382
814,2,0.7594341
815,2,0.970719
816,2,0.9990709
817,1,0.8769612
818,2,0.9980936
819,0,0.9861
820,2,0.90537786
821,1,0.8879422
822,3,0.9916496
823,0,0.9971925
824,0,0.9137117
825,3,0.99147797
826,2,0.92185533
827,3,0.76516765
828,0,0.99982905
829,0,0.9968366
830,2,0.9987041
831,3,0.64610267
832,3,0.92887324
833,1,0.9719476
834,3,0.7991418
835,2,0.9574468
836,1,0.9948825
837,0,0.9995672
838,0,0.99977756
839,2,0.5179649
840,3,0.9895269
841,0,0.84661454
842,3,0.9895826
843,0,0.998693
844,0,0.99963737
845,0,0.6763018
846,2,0.99406475
847,2,0.99194634
848,1,0.8027101
849,2,0.9936981
850,0,0.9979326
851,3,0.9799934
852,2,0.8664304
853,1,0.99934584
854,2,0.99874836
855,3,0.96755815
856,3,0.98902464
857,0,0.9989884
858,1,0.9476923
859,1,0.9990055
860,2,0.9979719
861,1,0.98857605
862,2,0.9962338
863,2,0.9986576
864,0,0.9998811
865,1,0.9951151
866,3,0.9976307
867,1,0.99614954
868,1,0.99494684
869,3,0.9941364
870,0,0.9827712
871,2,0.9981
872,3,0.97417635
873,2,0.66038924
874,1,0.9963441
875,1,0.9911672
876,1,0.9891979
877,3,0.85819983
878,3,0.9504942
879,0,0.9912238
880,2,0.98397154
881,3,0.9217119
882,0,0.9999624
883,2,0.996702
884,3,0.9779529
885,2,0.9857355
886,2,0.98833233
887,2,0.9863378
888,3,0.9922272
889,2,0.9965877
890,0,0.9855019
891,1,0.98889863
892,2,0.9101457
893,1,0.8952024
894,2,0.55933255
895,1,0.9933723
896,1,0.9796348
897,2,0.9840106
898,2,0.56273353
899,2,0.99372053
900,1,0.9171284
901,2,0.9935498
902,1,0.99684423
903,1,0.76733345
904,1,0.9723096
905,3,0.996235
906,1,0.8131967
907,0,0.9998534
908,1,0.99948376
909,2,0.99157727
910,3,0.9088498
911,1,0.99649763
912,0,0.9979436
913,0,0.99870384
914,3,0.9387697
915,2,0.9935214
916,2,0.99972606
917,3,0.9505426
918,0,0.9999414
919,3,0.9942493
920,3,0.6338402
921,2,0.99530435
922,1,0.999645
923,3,0.99327284
924,0,0.96910596
925,1,0.9053934
926,3,0.97604114
927,1,0.9993306
928,1,0.9731044
929,1,0.96618927
930,2,0.54308236
931,3,0.91272
932,2,0.9341119
933,0,0.9998164
934,3,0.9804664
935,0,0.9525109
936,2,0.99348944
937,3,0.9929557
938,0,0.9981168
939,2,0.6810764
940,1,0.64042795
941,3,0.98340595
942,3,0.9749664
943,1,0.99655974
944,0,0.7047328
945,2,0.9990441
946,3,0.97209555
947,1,0.6872452
948,0,0.9999544
949,2,0.96705365
950,1,0.99661547
951,2,0.99760514
952,1,0.9968763
953,2,0.997223
954,0,0.998202
955,2,0.9746065
956,3,0.80877656
957,0,0.9974658
958,2,0.99702364
959,3,0.9903566
960,2,0.9991738
961,3,0.9978364
962,0,0.9998245
963,2,0.92793345
964,1,0.99876714
965,1,0.9912448
966,2,0.976129
967,2,0.997635
968,3,0.9854306
969,3,0.7350099
970,0,0.9999816
971,3,0.6150524
972,1,0.9997773
973,2,0.8398423
974,1,0.67348295
975,3,0.98270345
976,1,0.6659761
977,1,0.53905904
978,3,0.9418122
979,0,0.9965391
980,2,0.7360338
981,0,0.99842453
982,0,0.9998083
983,3,0.99961025
984,3,0.52842563
985,2,0.9569874
986,0,0.9252097
987,0,0.9663957
988,0,0.999784
989,0,0.9993829
990,3,0.9980295
991,2,0.9920628
992,3,0.9873935
993,3,0.83676463
994,0,0.99998516
995,0,0.9997995
996,2,0.97465694
997,1,0.9950889
998,1,0.56135666
999,2,0.9823987
1000,2,0.9971024
